name,Beauly,Peterhead,Errochty,Denny/Bonnybridge,Neilston,Strathaven,Torness,Eccles,Harker,Stella West,Penwortham,Deeside,Daines,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Keadby,Ratcliffe,Feckenham,Walpole,Bramford,Pelham,Sundon/East Claydon,Melksham,Bramley,London,Kemsley,Sellindge,Lovedean,S.W.Penisula
12/5/2040 8:00,365.9050914,516.1875396,182.9525457,1365.610073,1607.368794,470.4494032,418.1772473,117.6123508,561.9256761,3417.292193,1731.515165,3711.32307,3770.129245,3005.648965,2737.754166,980.1029233,2371.849074,4828.640402,1326.405956,1659.64095,1012.773021,3397.690134,4978.922851,1561.630658,10709.25794,1868.729574,953.9668454,2580.937698,3136.329355
12/5/2040 9:00,380.2050273,536.3606635,190.1025136,1418.979477,1670.18637,488.8350351,434.5200312,122.2087588,583.8862919,3550.84338,1799.184504,3856.365277,3917.469656,3123.112724,2844.748329,1018.406323,2464.543302,5017.348485,1378.243224,1724.501374,1052.353201,3530.475253,5173.504121,1622.660741,11127.78642,1941.761389,991.2488211,2681.803317,3258.900234
12/5/2040 10:00,384.0126392,541.7321161,192.0063196,1433.190029,1686.912665,493.7305362,438.8715877,123.432634,589.733696,3586.403756,1817.202668,3894.985341,3956.701658,3154.389537,2873.237426,1028.605284,2489.224786,5067.595364,1392.045817,1741.771614,1062.892126,3565.83165,5225.314841,1638.911085,11239.22707,1961.207408,1001.175809,2708.66058,3291.536908
12/5/2040 11:00,384.8041091,542.848654,192.4020546,1436.143907,1690.389479,494.7481403,439.7761247,123.6870351,590.9491676,3593.795519,1820.948016,3903.013107,3964.856625,3160.890896,2879.159317,1030.725292,2494.355207,5078.03994,1394.914896,1745.361495,1065.082802,3573.181013,5236.084485,1642.288966,11262.39169,1965.249557,1003.239285,2714.24327,3298.320935
12/5/2040 12:00,383.7238597,541.3247306,191.8619298,1432.112262,1685.644098,493.3592482,438.5415539,123.339812,589.2902131,3583.706761,1815.836122,3892.056291,3953.726197,3152.017419,2871.076736,1027.831767,2487.352876,5063.784505,1390.998991,1740.461792,1062.092826,3563.150126,5221.385376,1637.678615,11230.77511,1959.732569,1000.42292,2706.623653,3289.061654
12/5/2040 13:00,385.574188,543.9350152,192.787094,1439.017951,1693.772326,495.7382417,440.6562148,123.9345604,592.1317887,3600.987505,1824.592139,3910.823906,3972.791187,3167.216544,2884.921156,1032.788003,2499.346968,5088.20223,1397.706431,1748.854353,1067.21427,3580.331745,5246.563058,1645.575552,11284.93025,1969.18246,1005.24699,2719.675076,3304.921611
12/5/2040 14:00,384.4725474,542.3809151,192.2362737,1434.906472,1688.932976,494.3218467,439.3971971,123.5804617,590.4399835,3590.69897,1819.379019,3899.650124,3961.440355,3158.167354,2876.678524,1029.837181,2492.205977,5073.66451,1393.712984,1743.857626,1064.165087,3570.102226,5231.572877,1640.873908,11252.68759,1963.556224,1002.374856,2711.904576,3295.478978
12/5/2040 15:00,380.7398042,537.115081,190.3699021,1420.975341,1672.535569,489.5226055,435.1312049,122.3806514,584.7075565,3555.837815,1801.715145,3861.789443,3922.979769,3127.505535,2848.749607,1019.838761,2468.009803,5024.405631,1380.18179,1726.926969,1053.833387,3535.441039,5180.780908,1624.943093,11143.4382,1944.492572,992.6430611,2685.575405,3263.484036
12/5/2040 16:00,404.9010273,571.1996635,202.4505136,1511.148477,1778.67237,520.5870351,462.7440312,130.1467588,621.8122919,3781.48638,1916.049504,4106.853277,4171.926656,3325.972724,3029.527329,1084.556323,2624.626302,5343.247485,1467.766224,1836.515374,1120.708201,3759.795253,5509.546121,1728.059741,11850.58542,2067.887389,1055.634821,2855.998317,3470.580234
12/5/2040 17:00,411.361133,580.3130269,205.6805665,1535.258514,1807.050691,528.8928852,470.1270091,132.2232213,631.7331685,3841.819152,1946.619647,4172.377206,4238.488816,3379.037878,3077.862763,1101.860178,2666.50163,5428.497808,1491.184107,1865.816567,1138.58885,3819.781949,5597.449702,1755.63055,12039.65887,2100.880072,1072.477239,2901.565134,3525.952568
12/5/2040 18:00,406.4197939,573.3422092,203.2098969,1516.816731,1785.344094,522.539735,464.4797644,130.6349337,624.1446834,3795.670575,1923.236524,4122.257909,4187.575376,3338.448307,3040.890958,1088.624448,2634.471164,5363.28978,1473.271753,1843.404065,1124.911929,3773.898086,5530.212195,1734.54162,11895.03647,2075.643947,1059.594463,2866.711046,3483.598233
12/5/2040 19:00,387.6919047,546.9225084,193.8459524,1446.921573,1703.075153,498.4610204,443.0764625,124.6152551,595.3839965,3620.765467,1834.613478,3932.303605,3994.611233,3184.612074,2900.766216,1038.460459,2513.074311,5116.148528,1405.383155,1758.459711,1073.075808,3599.996258,5275.379132,1654.613665,11346.91128,1979.997942,1010.76818,2734.612542,3323.073469
12/5/2040 20:00,359.3059437,506.8780277,179.6529718,1340.981111,1578.379681,461.9647848,410.6353642,115.4911962,551.7912707,3355.660867,1700.287055,3644.388858,3702.134456,2951.44168,2688.3784,962.4266349,2329.072456,4741.555221,1302.484046,1629.709102,994.5075227,3336.412334,4889.127305,1533.466438,10516.11503,1835.026784,936.7619246,2534.390139,3079.765232
12/5/2040 21:00,326.5882893,460.7227653,163.2941447,1218.874151,1434.655699,419.8992291,373.2437592,104.9748073,501.5463014,3050.101345,1545.46244,3312.538363,3365.025767,2682.689519,2443.580236,874.7900606,2116.991947,4309.799032,1183.882549,1481.311169,903.9497293,3032.605544,4443.933508,1393.832163,9558.539396,1667.933049,851.4623257,2303.613826,2799.328194
12/5/2040 22:00,290.9614482,410.4634716,145.4807241,1085.909691,1278.152076,374.0932906,332.5273694,93.52332265,446.8336527,2717.372097,1376.871139,2951.180404,2997.942065,2390.040468,2177.015122,779.3610221,1886.053673,3839.651969,1054.73525,1319.717997,805.3397228,2701.784877,3959.153992,1241.781895,8515.818101,1485.981682,758.5780615,2052.317358,2493.955271
12/5/2040 23:00,255.7089511,360.7322702,127.8544755,954.3423352,1123.292892,328.7686514,292.2388012,82.19216284,392.6958891,2388.138954,1210.051286,2593.619361,2634.715442,2100.466384,1913.250902,684.9346903,1657.541951,3374.444908,926.9449476,1159.822742,707.7658467,2374.44026,3479.468227,1091.329273,7484.05305,1305.942143,666.6697653,1803.661351,2191.791009
12/6/2040 0:00,247.3878216,348.993534,123.6939108,923.2866912,1086.739359,318.0700563,282.7289389,79.51751408,379.9170117,2310.425548,1170.674513,2509.219333,2548.97809,2032.114249,1850.991022,662.6459506,1603.603201,3264.635717,896.7808532,1122.080476,684.734149,2297.172629,3366.241429,1055.815881,7240.511421,1263.444946,644.9753919,1744.96767,2120.467042
12/6/2040 1:00,248.9707614,351.2266098,124.4853807,929.1944487,1093.692987,320.1052646,284.538013,80.02631615,382.347955,2325.209075,1178.16521,2525.274865,2565.288023,2045.116968,1862.834804,666.885968,1613.864042,3285.524869,902.51901,1129.260239,689.1155002,2311.871356,3387.780717,1062.571642,7286.840676,1271.529246,649.1023421,1756.133049,2134.035097
12/6/2040 2:00,233.7937913,329.8162412,116.8968956,872.5518281,1027.022726,300.5920173,267.1929043,75.14800433,359.0404651,2183.467015,1106.345619,2371.337026,2408.911028,1920.449,1749.278545,626.2333694,1515.484754,3085.243067,847.5024933,1060.421839,647.1078151,2170.942347,3181.265517,997.7985019,6842.643283,1194.018291,609.5338129,1649.081206,2003.946782
12/6/2040 3:00,230.4033053,325.0332343,115.2016527,859.8980502,1012.128806,296.2328211,263.3180632,74.05820528,353.8336475,2151.802298,1090.301356,2336.947811,2373.976914,1892.598579,1723.910445,617.1517107,1493.50714,3040.500761,835.2119818,1045.043563,637.7234344,2139.459264,3135.13069,983.3283924,6743.411026,1176.702595,600.6943317,1625.166172,1974.885474
12/6/2040 4:00,222.8843413,314.4261243,111.4421706,831.8362023,979.0990706,286.5655816,254.7249615,71.64139541,342.286667,2081.580544,1054.720544,2260.684033,2296.504731,1830.83566,1667.652482,597.0116284,1444.768141,2941.277289,807.9557371,1010.939691,616.912016,2069.640312,3032.819072,951.2385279,6523.34706,1138.302172,581.0913183,1572.130621,1910.437211
12/6/2040 5:00,228.8952343,322.905777,114.4476172,854.2697137,1005.504065,294.2938727,261.5945535,73.57346817,351.5176812,2137.717992,1083.164948,2321.651662,2358.438396,1880.210853,1712.626842,613.1122347,1483.731608,3020.59961,829.7452243,1038.203384,633.5493092,2125.455747,3114.610152,976.8921607,6699.273018,1169.000661,596.7625751,1614.528885,1961.959151
12/6/2040 6:00,272.5009476,384.4209796,136.2504738,1017.012465,1197.057734,350.3583612,311.4296544,87.5895903,418.4835981,2544.964207,1289.513413,2763.938183,2807.732978,2238.400641,2038.891019,729.9132525,1766.390071,3596.039291,987.815935,1235.986441,754.2436942,2530.365942,3707.959323,1162.995116,7975.518806,1391.701268,710.4488991,1922.104898,2335.722408
12/6/2040 7:00,340.4924903,480.3376202,170.2462451,1270.766615,1495.734868,437.7760589,389.1342746,109.4440147,522.8991815,3179.95665,1611.259106,3453.566687,3508.288694,2796.902599,2547.613454,912.033456,2207.120964,4493.284827,1234.285277,1544.376652,942.4345712,3161.715981,4633.129957,1453.173307,9965.485563,1738.94379,887.7125639,2401.688101,2918.507059
12/6/2040 8:00,383.4992534,541.0078753,191.7496267,1431.273999,1684.657434,493.0704686,438.284861,123.2676172,588.9452819,3581.609098,1814.773252,3889.778141,3951.41195,3150.172438,2869.396199,1027.230143,2485.896946,5060.820504,1390.184793,1739.443042,1061.471148,3561.064495,5218.329126,1636.720028,11224.20136,1958.585472,999.8373391,2705.039376,3287.136457
12/6/2040 9:00,391.1572594,551.8111338,195.5786297,1459.854772,1718.297961,502.9164764,447.0368679,125.7291191,600.7057913,3653.129405,1851.012031,3967.452203,4030.316762,3213.077488,2926.694495,1047.742659,2535.537235,5161.878834,1417.945065,1774.17757,1082.667414,3632.174552,5322.532709,1669.403304,11448.33479,1997.696003,1019.802855,2759.055669,3352.776509
12/6/2040 10:00,384.365592,542.2300316,192.182796,1434.507299,1688.463136,494.1843326,439.2749623,123.5460832,590.2757306,3589.700083,1818.872891,3898.565291,3960.338332,3157.288792,2875.878269,1029.550693,2491.512677,5072.253081,1393.325271,1743.372507,1063.869049,3569.109069,5230.11752,1640.417437,11249.55724,1963.009988,1002.096008,2711.150158,3294.562217
12/6/2040 11:00,385.0608021,543.2107744,192.530401,1437.101922,1691.517095,495.0781741,440.0694881,123.7695435,591.3433746,3596.192848,1822.162724,3905.616707,3967.501479,3162.999446,2881.07993,1031.412863,2496.019128,5081.42737,1395.845408,1746.525781,1065.793291,3575.564591,5239.577343,1643.384495,11269.90455,1966.560525,1003.90852,2716.053872,3300.521161
12/6/2040 12:00,390.9005665,551.4490134,195.4502832,1458.896757,1717.170346,502.5864426,446.7435045,125.6466107,600.3115842,3650.732076,1849.797324,3964.848603,4027.671908,3210.968939,2924.773881,1047.055089,2533.873315,5158.491404,1417.014553,1773.013284,1081.956925,3629.790974,5319.039851,1668.307775,11440.82194,1996.385036,1019.13362,2757.245067,3350.576284
12/6/2040 13:00,393.3819316,554.9495106,196.6909658,1468.157566,1728.070628,505.7767692,449.5793504,126.4441923,604.1222521,3673.906254,1861.539498,3990.016735,4053.238831,3231.351581,2943.339809,1053.701602,2549.957878,5191.236561,1426.009502,1784.268047,1088.824989,3652.832222,5352.80414,1678.897887,11513.44618,2009.057722,1025.602893,2774.747553,3371.845128
12/6/2040 14:00,391.863165,552.8069649,195.9315825,1462.489312,1721.398903,503.8240693,447.8436172,125.9560173,601.7898605,3659.722059,1854.352477,3974.612102,4037.590111,3218.875998,2931.976181,1049.633478,2540.113016,5171.194267,1420.503973,1777.379356,1084.62126,3638.729389,5332.138067,1672.416008,11468.99513,2001.301164,1021.643252,2764.034825,3358.827129
12/6/2040 15:00,394.0985327,555.9604301,197.0492663,1470.832024,1731.218554,506.6981135,450.3983231,126.6745284,605.2227466,3680.598796,1864.930557,3997.285117,4060.622382,3237.237947,2948.701521,1055.62107,2554.602989,5200.693137,1428.607181,1787.518345,1090.808439,3659.486375,5362.555034,1681.956238,11534.41956,2012.717506,1027.471175,2779.80215,3377.987423
12/6/2040 16:00,411.4573928,580.448822,205.7286964,1535.61777,1807.473547,529.0166479,470.2370204,132.254162,631.8809961,3842.718151,1947.075162,4173.353556,4239.480637,3379.828584,3078.582993,1102.118016,2667.1256,5429.768094,1491.533049,1866.253175,1138.855284,3820.67579,5598.759524,1756.041373,12042.47619,2101.371685,1072.728203,2902.24411,3526.777653
12/6/2040 17:00,412.9547683,582.561191,206.4773841,1541.206189,1814.051304,530.941845,471.9483066,132.7354612,634.180537,3856.702568,1954.160957,4188.541221,4254.908952,3392.128454,3089.78657,1106.128844,2676.831802,5449.528103,1496.961035,1873.044842,1142.999805,3834.579991,5619.134526,1762.431958,12086.30117,2109.018995,1076.632074,2912.805955,3539.6123
12/6/2040 18:00,399.2110004,563.1726613,199.6055002,1489.912484,1753.676895,513.2712863,456.2411434,128.3178216,613.0740364,3728.345593,1889.123484,4049.140147,4113.299058,3279.233218,2986.953735,1069.31518,2587.742735,5268.159452,1447.139877,1810.707038,1104.959019,3706.95929,5432.121113,1703.77552,11684.05053,2038.827609,1040.800108,2815.863307,3421.808575
12/6/2040 19:00,382.9858675,540.2836345,191.4929337,1429.35797,1682.402204,492.410401,437.6981343,123.1026003,588.1568679,3576.814441,1812.343837,3884.570942,3946.122242,3145.95534,2865.554973,1025.855002,2482.569105,5054.045644,1388.32377,1737.11447,1060.050169,3556.297341,5211.343411,1634.52897,11209.17566,1955.963537,998.4988688,2701.418172,3282.736007
12/6/2040 20:00,350.1505621,493.9624002,175.0752811,1306.811919,1538.161398,450.1935799,400.172071,112.548395,537.7312204,3270.156143,1656.962482,3551.52713,3607.801328,2876.236761,2619.876528,937.9032915,2269.725965,4620.736883,1269.295788,1588.182907,969.1667345,3251.398077,4764.548721,1494.392578,10248.15663,1788.268942,912.892537,2469.812001,3001.290533
12/6/2040 21:00,322.8234595,455.4116661,161.4117298,1204.823269,1418.11734,415.0587337,368.9410966,103.7646834,495.7645985,3014.940524,1527.646728,3274.352232,3326.234574,2651.764132,2415.411242,864.7056951,2092.587782,4260.116725,1170.235041,1464.234977,893.5292183,2997.64641,4392.704931,1377.764408,9448.350895,1648.705525,841.6468766,2277.05833,2767.058224
12/6/2040 22:00,289.6458969,408.6076046,144.8229485,1080.999865,1272.373047,372.4018675,331.0238822,93.10046687,444.8133417,2705.085787,1370.645762,2937.836955,2984.387188,2379.234153,2167.171979,775.8372239,1877.526082,3822.29139,1049.966376,1313.751032,801.6984647,2689.569043,3941.253097,1236.16731,8477.314733,1479.262974,755.1482313,2043.038023,2482.679117
12/6/2040 23:00,260.1048177,366.9335821,130.0524088,970.7483374,1142.603306,334.4204799,297.2626488,83.60511997,399.4466843,2429.193208,1230.853155,2638.206008,2680.008568,2136.575288,1946.141404,696.709333,1686.036586,3432.454647,942.8799641,1179.761137,719.9329775,2415.259021,3539.283412,1110.090204,7612.710646,1328.392462,678.1304175,1834.66791,2229.469866
12/7/2040 0:00,254.20088,358.6048129,127.10044,948.7139987,1116.668152,326.8297029,290.5152915,81.70742573,390.3799229,2374.054647,1202.914879,2578.323212,2619.176925,2088.078657,1901.967299,680.8952144,1647.766419,3354.543756,921.4781901,1152.982563,703.5917215,2360.436743,3458.947689,1084.893042,7439.915042,1298.240209,662.7380087,1793.024065,2178.864686
